Hub Code,Hub City,Hub Country,Mission Name,Slug,Duration (Days),Distance (KM),Difficulty,Terrain,Lat,Lng,Route,Key Roads,Highlights,Overnight Stops,Season,Hazards,Description,
YVR,Vancouver,Canada,Sea-to-Sky Mission,sea-to-sky-mission,2,450,medium,coastal mountain,49.19,-123.18,Vancouver → Whistler → Pemberton → Duffy Lake → Vancouver,Hwy 99,Howe Sound vistas; alpine peaks; Duffy Lake twisties,Whistler,Summer,Rockfall risk; heavy weekend volume; rapid weather shifts,The definitive British Columbia deployment. Features the technical Hwy 99 transition from sea level to alpine glaciers.,
SAN,San Diego,USA,Palomar Mountain Strike,palomar-mountain-strike,2,340,advanced,technical mountain,32.73,-117.18,San Diego → Palomar Mtn → Julian → Borrego Springs → SAN,S6; Hwy 78,Palomar Observatory; technical hairpins; desert descent,Julian,Year-round,Extreme hairpin frequency; aggressive riders; desert heat,High-intensity technical deployment. South Grade Road (S6) is an operational benchmark for precision cornering and lean angle.,
TPA,Tampa,USA,Gulf Coast Ridge Recon,gulf-coast-ridge,2,320,easy,rolling hills,27.97,-82.53,Tampa → Brooksville → Sugarloaf Mountain → San Antonio → Tampa,CR-575; CR-491,Florida 'Highlands'; oak hammocks; rural hill twisties,Brooksville,Winter/Spring,Agricultural vehicles; high humidity; afternoon storms,Logistical reconnaissance of central Florida's rare hilly terrain. Features technical canopy roads and quiet rural lanes.,
BNA,Nashville,USA,Natchez Trace Mission,natchez-trace-mission,3,750,easy,wooded plateau,36.12,-86.67,Nashville → Natchez Trace Pkwy → Muscle Shoals → Nashville,Natchez Trace Pkwy,Double Arch Bridge; wooded corridors; historic trail sites,Florence,Spring/Autumn,Strict speed enforcement; deer activity; zero commercial traffic,Operational run along the historic Natchez Trace. Features hundreds of miles of smooth,commercial-free wooded riding.,
YUL,Montréal,Canada,Laurentian Highland Strike,laurentian-strike,2,480,medium,mountain forest,45.46,-73.74,Montréal → Mont-Tremblant → Saint-Donat → Montréal,Route 125; Route 327,Laurentian peaks; glacial lakes; Quebec forest sweepers,Mont-Tremblant,Summer,Logging trucks; potholes; wildlife hazards,Tactical deployment into the Laurentian Mountains. Features technical lake-side roads and high-quality forest corridors.,
HNL,Honolulu,USA,Oahu Island Perimeter,oahu-island-perimeter,2,310,easy,coastal sweepers,21.31,-157.92,Honolulu → North Shore → Pali Lookout → Honolulu,Hwy 83; Hwy 61,Banzai Pipeline; Nu'uanu Pali cliffs; Pacific vistas,Haleiwa,Year-round,Heavy tourist traffic; sudden tropical rain; salt spray,Strategic coastal reconnaissance of Oahu. Features high-verticality cliff roads and world-famous surf coast vistas.,
AUS,Austin,USA,Hill Country Tactical,hill-country-tactical,2,360,medium,karst plateau,30.19,-97.66,Austin → Luckenbach → Willow City Loop → Austin,Hwy 16; Willow City Loop,Granite outcrops; Texas peach country; rhythmic hills,Fredericksburg,Spring,Livestock on road; cattle guards; technical hairpins,Tactical mission through the Texas Hill Country. Includes the Willow City Loop,a technical benchmark for limestone canyons.,
MDW,Chicago,USA,Lake Michigan Shore,lake-michigan-shore,2,390,easy,coastal dunes,41.78,-87.75,Chicago → Indiana Dunes → Harbor Country → Chicago,Hwy 12; Red Arrow Hwy,Sand dunes; lakeside vineyards; lighthouse stops,New Buffalo,Summer,Heavy beach traffic; sand on road; local speed enforcement,Low-complexity reconnaissance of the southern Lake Michigan coast. Features rhythmic lakeside sweepers and dunes.,
YYC,Calgary,Canada,Icefields Parkway Mission,icefields-parkway-recon,3,900,advanced,alpine pass,51.11,-114.02,Calgary → Banff → Jasper → Lake Louise → Calgary,Hwy 93; Hwy 1A,Athabasca Glacier; turquoise lakes; 3000m peaks,Jasper,June - August,Grizzly bears; black ice; extreme mountain weather,Long-range expedition through the Canadian Rockies. Features the Icefields Parkway,arguably the most scenic mountain route in the world.,
DAL,Dallas,USA,Red River Frontier,red-river-frontier,2,420,easy,river valley,32.84,-96.85,Dallas → Lake Texoma → Muenster → Saint Jo → Dallas,FM 455; FM 677,Red River bluffs; German heritage towns; rolling ridges,Saint Jo,Spring/Autumn,Loose gravel; agricultural machinery; high prairie winds,Logistical mission to the Oklahoma border. Features rhythmic rolling hills and historic frontier settlements.,
GDL,Guadalajara,Mexico,Jalisco Highlands Recon,jalisco-highlands,3,720,medium,arid plateau,20.52,-103.31,Guadalajara → Tequila → Lake Chapala → Mazamitla → GDL,Hwy 15; Hwy 80,Agave landscapes; Lake Chapala; pine forests,Mazamitla,Year-round,Aggressive truck traffic; potholes; livestock on road,Strategic deployment into the heart of Jalisco. Features the transition from agave-covered plains to technical mountain forests.,
PDX,Portland,USA,Mount Hood Loop,mount-hood-loop,2,380,medium,mountain forest,45.58,-122.59,Portland → Columbia River Gorge → Mount Hood → Portland,Hwy 30; Hwy 35,Multnomah Falls; Timberline Lodge; orchard sweepers,Hood River,Summer,Strong gorge winds; logging trucks; mountain mist,Tactical reconnaissance of the Cascade Range. Features the historic Columbia River Highway and high-altitude alpine loops.,
STL,St. Louis,USA,Ozark River Strike,ozark-river-strike,2,450,medium,karst hills,38.74,-90.37,St. Louis → Steelville → Current River → St. Louis,Hwy 19; Hwy 8,Ozark National Scenic Riverways; limestone bluffs; forest twisties,Steelville,Spring/Autumn,Deer activity; low-water crossings; agricultural residue,Tactical forest deployment into the Ozark Mountains. Features the technical Hwy 19 corridor and rhythmic hill transitions.,
RDU,Raleigh,USA,Outer Banks Reach,outer-banks-reach,3,820,easy,coastal barrier,35.87,-78.78,Raleigh → Hatteras → Ocracoke → Cedar Island → Raleigh,Hwy 12,Wright Brothers Memorial; ferry ops; Atlantic barrier islands,Hatteras,Spring/Autumn,Strong crosswinds; sand drifts; ferry coordination,Long-range reconnaissance requiring multiple maritime links. Features the windswept Hwy 12 and historic flight sites.,
HOU,Houston,USA,Gulf Coast Marsh Recon,gulf-marsh-recon,2,360,easy,coastal plains,29.64,-95.27,Houston → Galveston → Surfside Beach → Brazos Bend → Houston,FM 3005; Hwy 87,Seawall Blvd; marshland wildlife; coastal bridges,Galveston,Winter/Spring,Salt spray; high humidity; heavy weekend volume,Low-complexity deployment along the upper Texas coast. Features smooth coastal cruising and historic maritime hubs.,
SMF,Sacramento,USA,Gold Country Strike,gold-country-strike,2,410,advanced,technical foothills,38.69,-121.59,Sacramento → Placerville → Hwy 49 → Sonora → Sacramento,Hwy 49; Hwy 88,Gold rush towns; deep river canyons; Sierra Nevada vistas,Sonora,Spring/Autumn,Extreme technical curves; RV traffic; wildlife,High-intensity tactical deployment through the Sierra Foothills. Features the rhythmic banking transitions of the historic Hwy 49.,
MSY,New Orleans,USA,River Road Recon,river-road-recon,2,310,easy,river delta,29.99,-90.25,MSY → Vacherie → Oak Alley → Avery Island → MSY,Hwy 18; Hwy 1,Mississippi River levees; historic plantations; bayou vistas,Houma,Spring,Heavy humidity; drawbridges; agricultural machinery,Logistical mission through the Mississippi Delta. Features smooth levee-side riding and deep Cajun cultural immersion.,
SNA,Santa Ana,USA,Ortega Highway Strike,ortega-hwy-strike,2,320,advanced,technical mountain,33.67,-117.86,Santa Ana → Ortega Hwy → Lake Elsinore → Idyllwild → SNA,Hwy 74; Hwy 243,Cleveland National Forest; San Jacinto peaks; desert views,Idyllwild,Year-round,High motorcycle fatality rate; rockfall; commuter volume,High-intensity technical deployment. The Hwy 74 'Ortega' segment is a Southern California benchmark for lean-angle frequency.,
SJC,San Jose,USA,Mount Hamilton Mission,mt-hamilton-mission,2,290,advanced,technical ridge,37.36,-121.92,San Jose → Mt. Hamilton → Lick Observatory → Mines Rd → SJC,Hwy 130; Mines Rd,Lick Observatory views; isolated canyons; cattle ranges,Livermore,Spring/Autumn,Single-lane sectors; relentless 1st/2nd gear corners; no fuel,High-intensity tactical deployment. Features 365 curves in a single sector over the San Diablo Range.,
SAT,San Antonio,USA,Medina River Loop,medina-river-loop,2,380,medium,rolling hills,29.53,-98.46,San Antonio → Bandera → Medina → Vanderpool → San Antonio,Hwy 16; FM 337,Bandera 'Cowboy Capital'; Medina river bends; canyon vistas,Bandera,Spring/Autumn,Loose gravel; livestock; weekend biker volume,Tactical reconnaissance of the southern Hill Country. Features high-quality asphalt and rhythmic river-side sweepers.,
MCI,Kansas City,USA,Flint Hills Sweep,flint-hills-sweep,2,420,easy,tallgrass prairie,39.29,-94.71,Kansas City → Cottonwood Falls → Flint Hills Pkwy → KC,Hwy 177,Tallgrass Prairie National Preserve; rolling ridges; vast horizons,Cottonwood Falls,Spring/Autumn,Severe prairie crosswinds; open-range cattle,Logistical mission into the nation's last tallgrass prairie. Features long-horizon visibility and smooth,rhythmic curves.,
CLE,Cleveland,USA,Cuyahoga Valley Strike,cuyahoga-valley-strike,2,310,easy,river forest,41.41,-81.85,Cleveland → Cuyahoga Valley → Amish Country → Cleveland,OH-303; OH-557,Cuyahoga National Park; rolling farm hills; historic mills,Berlin,Spring/Autumn,Deer hazards; agricultural machinery; slow Amish buggies,Strategic reconnaissance of Northeast Ohio. Features technical forest roads and transitions into the world's largest Amish community.,
